1,5
2,7
3,8
4,3
5,5
6,6
7,3
8,7
9,2
10,10
11,5
12,7
13,2
14,6
15,9
16,2
17,10
18,2
19,7
20,1
21,5
22,6
23,6
24,9
25,8
26,9
27,7
28,9
29,6
30,6
31,4
32,0
33,9
34,5
35,8
36,7
37,2
38,1
39,9
40,4
41,2
42,1
43,4
44,1
45,5
46,1
47,2
48,0
49,3
50,5
51,8
52,0
53,3
54,6
55,0
56,6
57,0
58,9
59,0
60,7
61,5
62,9
63,1
64,8
65,7
66,3
67,3
68,5
69,5
70,6
71,2
72,8
73,5
74,4
75,6
76,3
77,7
78,4
79,8
80,4
81,7
82,1
83,2
84,3
85,7
86,7
87,4
88,0
89,4
90,7
91,6
92,0
93,3
94,4
95,8
96,6
97,2
98,3
99,0
100,2
101,7
102,4
103,5
104,2
105,0
106,0
107,9
108,1
109,4
110,7
111,7
112,5
113,2
114,1
115,6
116,9
117,5
118,2
119,9
120,5
121,7
122,1
123,4
124,3
125,4
126,4
127,8
128,0
129,8
130,4
131,6
132,3
133,3
134,2
135,3
136,5
137,3
138,1
139,4
140,0
141,5
142,1
143,1
144,7
145,6
146,8
147,8
148,1
149,7
150,6
151,9
152,8
153,5
154,5
155,3
156,5
157,8
158,0
159,6
160,8
161,8
162,6
163,8
164,5
165,3
166,5
167,0
168,3
169,7
170,8
171,4
172,4
173,5
174,8
175,5
176,1
177,4
178,5
179,3
180,6
181,6
182,4
183,5
184,1
185,1
186,6
187,8
188,7
189,1
